"","Abundance","Mean.S","Norm.CI.Low","Norm.CI.High","2.5%","97.5%"
"1",1,1,1,1,1,1
"2",2,1.775,0.956144147749249,2.59385585225075,1,2
"3",3,2.3755568271042,1.11169537492886,3.63941827927954,1,3
"4",4,2.82880001391885,1.24762139258,4.4099786352577,1.75476535060332,4
"5",5,3.23039406923649,1.34076507323106,5.12002306524192,1.64938488846612,5
"6",6,3.50333227730077,1.48278190853532,5.52388264606622,1.5691925832142,6
"7",7,3.71713716588416,1.64861177144406,5.78566256032426,1.97560988459253,5.74234749205346
"8",8,3.97724869707592,1.73241493695615,6.2220824571957,2.08677944009772,6.72717132202972
"9",9,4.12863320603991,1.85008553019064,6.40718088188917,1.98766697500242,6.61380521524019
"10",10,4.38712888321296,2.01592802267988,6.75832974374604,2.45455559589115,7.19223093324864
"11",11,4.49066967358864,2.10199081388773,6.87934853328956,2.42437595123906,7.18680696650756
"12",12,4.55668632267301,2.12675231226799,6.98662033307803,2.5053483456112,7.2369838003579
"13",13,4.7117118224476,2.32439297099683,7.09903067389837,2.55271079928201,7.32658388348851
"14",14,4.88204606087571,2.45182871626867,7.31226340548274,2.79455765544942,7.72862659571669
"15",15,4.88859661755661,2.43531165225305,7.34188158286017,2.89314958973119,7.585432434654
"16",16,5.08980435301938,2.57365692996958,7.60595177606917,2.83159409471948,7.87465654540617
"17",17,5.05637155500929,2.65484416677437,7.45789894324422,3.04795686686614,7.67320350285577
"18",18,5.2190967488,2.71433620962003,7.72385728797998,3.1946278761544,7.86520113181993
"19",19,5.2055717678779,2.73440924118667,7.67673429456913,3.09131415587697,8.03240531689151
"20",20,5.26849753878119,2.85306299992444,7.68393207763794,3.33620949097497,8.00922050182512
"21",21,5.40738055473221,2.93787957129646,7.87688153816796,3.23931620776644,8.22310295422754
"22",22,5.40515292828995,3.06765017044035,7.74265568613955,3.40475536555246,8.11576887458059
"23",23,5.43950961724493,3.01412657041013,7.86489266407974,3.38040878049909,8.15737809344417
"24",24,5.51341480350343,3.18120816912695,7.84562143787991,3.42321556422552,8.00533614397863
"25",25,5.57591575859064,3.2197759293574,7.93205558782387,3.65769828972359,8.15661418268978
"26",26,5.62462560802789,3.19517674272804,8.05407447332774,3.51798216767004,8.20659246808057
"27",27,5.60059962947385,3.27958423295859,7.9216150259891,3.59639563003845,8.29614157253027
"28",28,5.71107588096508,3.30831739133492,8.11383437059524,3.52453563689303,8.38077311278157
"29",29,5.80448653119537,3.44879984626592,8.16017321612482,3.74334888630565,8.36838893382785
"30",30,5.85008214645935,3.48499428338222,8.21517000953647,3.87283819522093,8.60939397906085
"31",31,5.83808758704525,3.54583805785582,8.13033711623467,3.85025962656657,8.39619574476588
"32",32,5.94640070683308,3.6557701793419,8.23703123432425,3.89216214517451,8.35775224363392
"33",33,5.98829629041568,3.70909832540238,8.26749425542898,3.94887694081853,8.53564612848049
"34",34,5.99842024947703,3.71100670080202,8.28583379815204,4.08221268762935,8.4244112131362
"35",35,5.99889251283722,3.77282504459578,8.22495998107865,4.06429229470999,8.53323196796929
"36",36,6.04403523299283,3.85539527038459,8.23267519560106,4.16853883609895,8.50589676982821
"37",37,6.12331579660894,3.95336330036267,8.2932682928552,4.12459773964564,8.51095531895329
"38",38,6.14474664607598,3.9605048411126,8.32898845103935,4.24041180151706,8.59196813020418
"39",39,6.12242026375627,3.88664085221581,8.35819967529673,4.21648509133227,8.61776894428177
"40",40,6.16054416928202,3.93610845561041,8.38497988295363,4.21519572640191,8.62657616916212
"41",41,6.28240722917185,4.08530055823762,8.47951390010609,4.36516164547208,8.63841771503795
"42",42,6.21224349246898,4.15874577037332,8.26574121456464,4.42958967244828,8.38685546105403
"43",43,6.2892084587354,4.1862827693304,8.39213414814039,4.47147327730442,8.73188630901091
"44",44,6.24954417142992,4.16925257398997,8.32983576886986,4.36560204547285,8.38008292810409
"45",45,6.3484851528929,4.21835614121452,8.47861416457128,4.4852134545789,8.77874803500784
"46",46,6.32680236193147,4.25638354696444,8.3972211768985,4.40614295431268,8.58389002712403
"47",47,6.39466088970724,4.22468053428788,8.56464124512661,4.42717368940794,8.85879581612797
"48",48,6.34144303697798,4.26568690373843,8.41719917021753,4.55577420098306,8.60761399999884
"49",49,6.37948316529836,4.3525758669139,8.40639046368281,4.54436164370751,8.49053304165988
"50",50,6.36923967487318,4.35487590284192,8.38360344690443,4.57688650317271,8.50532023781081
"51",51,6.46491051075552,4.49232708935531,8.43749393215572,4.65498164072906,8.62446803133644
"52",52,6.47907398090635,4.41312192397664,8.54502603783606,4.60647517626976,8.78125774318064
"53",53,6.49044864002164,4.42866148464299,8.5522357954003,4.59268763359513,8.79938042508824
"54",54,6.48488474583592,4.55071548334893,8.41905400832291,4.73085361823061,8.62035594704308
"55",55,6.51272600477732,4.51405262390963,8.51139938564502,4.65740697668603,8.65075516631005
"56",56,6.55925172281045,4.58537124038395,8.53313220523695,4.79222412992501,8.80642956646849
"57",57,6.53093484196741,4.5375885673491,8.52428111658573,4.69457602700409,8.68977493273839
"58",58,6.58957882505209,4.64626956251535,8.53288808758883,4.8370445057011,8.70477614117055
"59",59,6.56007893587036,4.67853409024803,8.44162378149269,4.82212704491396,8.54043356008425
"60",60,6.62707818901108,4.68636051484854,8.56779586317362,4.83884799018577,8.71899016033355
"61",61,6.60982853644034,4.72025071581326,8.49940635706743,4.9128904066904,8.74051095508486
"62",62,6.64322955805809,4.70877137629228,8.5776877398239,4.90373327845724,8.76759498587207
"63",63,6.62420465444468,4.70065699550361,8.54775231338575,4.93073551065771,8.82890711023932
"64",64,6.65575216040099,4.73617694306596,8.57532737773601,4.89528797511575,8.76541454996105
"65",65,6.64072036940622,4.787961727845,8.49347901096745,4.9202930252113,8.5961140541013
"66",66,6.62954410508343,4.82223530036858,8.43685290979828,5.02327087352423,8.69405554072742
"67",67,6.65049533370249,4.84454173598195,8.45644893142303,5.02475920871434,8.5539058458535
"68",68,6.72710307515737,4.86885120191034,8.5853549484044,5.1068933115194,8.84433292321716
"69",69,6.74867408429092,4.96680887236307,8.53053929621876,5.13227518550387,8.65598712531648
"70",70,6.75522670896972,4.94445217346223,8.56600124447721,5.08378156088702,8.69863991725292
"71",71,6.77884044305498,4.98596168879314,8.57171919731682,5.16645989582613,8.81517193653645
"72",72,6.79407189436642,4.96554048131624,8.62260330741659,5.19205591123776,8.73647163127884
"73",73,6.73642486588751,4.99658310482943,8.47626662694559,5.14299771551185,8.71116577785034
"74",74,6.75630265765738,4.98948030833069,8.52312500698408,5.12301922056885,8.60102268282476
"75",75,6.80675533146717,4.94720095212988,8.66630971080447,5.16236185184127,8.86835319604563
"76",76,6.82801742888188,5.11451305643801,8.54152180132575,5.30631896754409,8.74288023576847
"77",77,6.80812005942903,5.13279487545031,8.48344524340774,5.33075756340021,8.62482265305985
"78",78,6.83178361326139,5.11235559145805,8.55121163506472,5.2033792789963,8.61775022244968
"79",79,6.90883258454922,5.1625343196133,8.65513084948514,5.29302751504139,8.7339816966733
"80",80,6.87907101446394,5.19729126066383,8.56085076826404,5.37171694290259,8.80999915179
"81",81,6.87413554238576,5.20885594363808,8.53941514113343,5.30428136008244,8.62861548992901
"82",82,6.83016032187199,5.16478213632623,8.49553850741774,5.24693504818021,8.64755805213635
"83",83,6.90445413102106,5.1929997565951,8.61590850544701,5.35949612421692,8.69128547916502
"84",84,6.8612792070278,5.19221050728307,8.53034790677253,5.25150072011514,8.67911005685384
"85",85,6.93746497397832,5.31859569104577,8.55633425691087,5.3825578414165,8.62274465762432
"86",86,6.92873609953736,5.30692113923685,8.55055105983786,5.42777997565828,8.66454849413134
"87",87,6.94753105912771,5.37396195128041,8.52110016697501,5.46662184987609,8.61475970653204
"88",88,6.88415860963779,5.30022866037827,8.46808855889731,5.50439031072578,8.63358999833135
"89",89,6.95110863105303,5.37894643457146,8.52327082753461,5.4966865555703,8.5767169651108
"90",90,6.97344813571928,5.32143419140742,8.62546208003113,5.44221351585011,8.68058086625717
"91",91,6.93143363199869,5.35374749949511,8.50911976450227,5.45879197321517,8.64538195950808
"92",92,7.0111840943656,5.43032361124689,8.59204457748431,5.52998596194046,8.68465242954561
"93",93,7.04309146669326,5.52272496073779,8.56345797264872,5.63693674602258,8.65857619675575
"94",94,7.03880672066359,5.50281042596027,8.5748030153669,5.56648970850899,8.60439895878859
"95",95,6.97277078152299,5.48890746034752,8.45663410269846,5.59472435224079,8.61098511167787
"96",96,6.97749211217798,5.45343340796128,8.50155081639468,5.49057881338228,8.58413443382447
"97",97,7.0321850400776,5.52711423440335,8.53725584575184,5.58029579383672,8.52366438590885
"98",98,7.0174680457016,5.50379381819388,8.53114227320931,5.50086136473585,8.58856258423715
"99",99,7.04658510048469,5.57219069161863,8.52097950935074,5.69516738388502,8.70312578039511
"100",100,7.0591175674759,5.53200733261786,8.58622780233394,5.59637885760982,8.6256246820708
