"","Abundance","Mean.S","Norm.CI.Low","Norm.CI.High","2.5%","97.5%"
"1",1,1,1,1,1,1
"2",2,1.769,0.942515892815408,2.59548410718459,1,2
"3",3,2.2808,0.972699425840355,3.58890057415964,1,3
"4",4,2.74413333333333,1.0617908034743,4.42647586319236,1.6,4
"5",5,3.08425224448754,1.131793593547,5.03671089542808,1.47058823529412,5
"6",6,3.16155274725275,1.08117593135145,5.24192956315404,1.38461538461538,6
"7",7,3.36868156071292,1.20945253789818,5.52791058352766,1.68965517241379,5.44444444444444
"8",8,3.53583572285987,1.28271238197279,5.78895906374696,1.68421052631579,6.4
"9",9,3.68588655612626,1.41331883667864,5.95845427557389,1.97560975609756,6.23076923076923
"10",10,3.74017474714927,1.49533277059753,5.98501672370101,1.92307692307692,6.25
"11",11,3.82706543982535,1.66683833382588,5.98729254582483,2.05084745762712,6.36842105263158
"12",12,3.90654396406354,1.72487683296048,6.08821109516659,2.05714285714286,6.54545454545455
"13",13,3.88571663766051,1.66338381170261,6.10804946361841,1.98823529411765,6.76
"14",14,3.99122875194635,1.79853982784248,6.18391767605022,2.22727272727273,6.53333333333333
"15",15,4.05107498602058,1.81797620658887,6.28417376545229,2.27272727272727,6.81818181818182
"16",16,4.03548548074359,1.9048607909167,6.16611017057047,2.28571428571429,6.4
"17",17,4.13109982797206,1.91561054919499,6.34658910674913,2.24031007751938,6.72093023255814
"18",18,4.11244431629305,1.96127942817184,6.26360920441426,2.41702151009658,6.75
"19",19,4.15166212548097,2.06784334727584,6.23548090368611,2.4549582249007,6.56363636363636
"20",20,4.13940838897995,2.13710830651399,6.1417084714459,2.5,6.45698924731182
"21",21,4.21904098906876,2.27603483081411,6.1620471473234,2.64071856287425,6.39130434782609
"22",22,4.22618002814247,2.17586367306101,6.27649638322392,2.52083333333333,6.72222222222222
"23",23,4.19538805991328,2.2325995115827,6.15817660824385,2.50710900473934,6.69620253164557
"24",24,4.19445341994854,2.32970751750205,6.05919932239504,2.69096573208723,6.4
"25",25,4.2416164122228,2.36043931462553,6.12279350982006,2.61506276150628,6.31313131313131
"26",26,4.30556072632868,2.39924210325286,6.21187934940449,2.68149181547619,6.62745098039216
"27",27,4.28616688133719,2.45722883876333,6.11510492391104,2.77134012482961,6.34193535975375
"28",28,4.34189537122369,2.47488528271357,6.2089054597338,2.76008076430612,6.53333333333333
"29",29,4.26167964336283,2.53115205895388,5.99220722777177,2.86982067449529,6.13868613138686
"30",30,4.30685215868208,2.51198490223177,6.10171941513239,2.81206327639752,6.33802816901408
"31",31,4.35638446705102,2.51772370682446,6.19504522727758,2.78510587645658,6.4496644295302
"32",32,4.3675467716954,2.56272674834149,6.17236679504931,2.86033519553073,6.64935064935065
"33",33,4.32436598445159,2.62105361400069,6.02767835490249,2.84334203655352,6.29479768786127
"34",34,4.38152116637093,2.6351928581781,6.12784947456377,2.89,6.42222222222222
"35",35,4.32721057178968,2.69312771020384,5.96129343337552,2.93729932521763,6.09605865146629
"36",36,4.35671458008527,2.73949845012691,5.97393071004364,2.945121349239,6.05750308587551
"37",37,4.34880520304676,2.78955946816714,5.90805093792638,2.95680345572354,6.03083700440529
"38",38,4.37284451778208,2.70924976605847,6.03643926950569,2.99554113370598,6.38938053097345
"39",39,4.34885133627682,2.76126267398701,5.93643999856663,3.01188118811881,6.20816326530612
"40",40,4.41784074894489,2.80623321547468,6.02944828241511,2.99625468164794,6.2015503875969
"41",41,4.38002341891563,2.83242820423629,5.92761863359498,3.06110323438192,6.20410499458154
"42",42,4.3817834331896,2.82970033984931,5.93386652652989,3.0411180234625,6.08275862068966
"43",43,4.42511933426806,2.93463539573736,5.91560327279876,3.09715242881072,6.0228013029316
"44",44,4.41520746272875,2.95923333787375,5.87118158758374,3.12258064516129,6.01336180124224
"45",45,4.3861427606338,2.93273772654774,5.83954779471985,3.02690582959641,5.97345132743363
"46",46,4.42819968529911,2.95736137272628,5.89903799787195,3.11130976952184,6.08133844927247
"47",47,4.42205681264005,2.92864557784554,5.91546804743456,3.09796006237802,6.05458350822299
"48",48,4.44993141319819,3.01818130396407,5.8816815224323,3.1731189856221,6
"49",49,4.42872148129329,2.96377479404769,5.89366816853888,3.19685828368727,6.01830173670953
"50",50,4.40445532736611,3.01347804862209,5.79543260611013,3.17238803572576,6.01034118357488
"51",51,4.47398947346668,3.05206874363277,5.89591020330058,3.22284912761177,5.97931034482759
